Date,Venue,Score,Competition,
1895-96,Bank Street,5–2,Second Division,
1904-05,Bank Street,3–1,Second Division,
1906-07,Bank Street,0–0,First Division,
1907-08,Bank Street,4–0,First Division,
1908-09,Bank Street,3–2,First Division,
1909-10,Old Trafford,3–4,First Division,
1910-11,Old Trafford,2–0,First Division,
1911-12,Old Trafford,1–1,First Division,
1912-13,Old Trafford,3–1,First Division,
1913-14,Old Trafford,3–0,First Division,
1914-15,Old Trafford,2–0,First Division,
1919-20,Old Trafford,0–0,First Division,
1920-21,Old Trafford,1–1,First Division,
1921-22,Old Trafford,0–0,First Division,
1925-26,Old Trafford,3–3,First Division,
1926-27,Old Trafford,0–1,First Division,
1927-28,Old Trafford,6–1,First Division,
1928-29,Old Trafford,2–2,First Division,
1929-30,Old Trafford,1–2,First Division,
1930-31,Old Trafford,4–1,First Division,
1936-37,Old Trafford,2–5,First Division,
1938-39,Old Trafford,2–0,First Division,
1946-47,Maine Road,5–0,First Division,
1947-48,Maine Road,2–0,First Division,
1948-49,Old Trafford,0–0,First Division,
1949-50,Old Trafford,0–0,First Division,
1950-51,Old Trafford,1–0,First Division,
1951-52,Old Trafford,4–0,First Division,
1952-53,Old Trafford,3–1,First Division,
1953-54,Old Trafford,5–1,First Division,
1962-63,Old Trafford,3–3,First Division,
1963-64,Old Trafford,0–1,First Division,
1964-65,Old Trafford,3–0,First Division,
1965-66,Old Trafford,2–0,First Division,
1966-67,Old Trafford,2–2,First Division,
1967-68,Old Trafford,1–2,First Division,
1968-69,Old Trafford,1–0,First Division,
1969-70,Old Trafford,1–0,First Division,
1970-71,Old Trafford,0–2,First Division,
1971-72,Old Trafford,0–3,First Division,
1972-73,Old Trafford,2–0,First Division,
1973-74,Old Trafford,0–0,First Division,
1975-76,Old Trafford,0–0,First Division,
1976-77,Old Trafford,0–0,First Division,
1977-78,Old Trafford,2–0,First Division,
1978-79,Old Trafford,0–3,First Division,
1979-80,Old Trafford,2–1,First Division,
1980-81,Old Trafford,0–0,First Division,
1981-82,Old Trafford,0–1,First Division,
1982-83,Old Trafford,1–1,First Division,
1983-84,Old Trafford,1–0,First Division,
1984-85,Old Trafford,1–1,First Division,
1985-86,Old Trafford,1–1,First Division,
1986-87,Old Trafford,1–0,First Division,
1987-88,Old Trafford,1–1,First Division,
1988-89,Old Trafford,3–1,First Division,
1989-90,Old Trafford,1–2,First Division,
1990-91,Old Trafford,1–1,First Division,
1991-92,Old Trafford,0–0,First Division,
1992-93,Old Trafford,2–2,First Division,
1993-94,Old Trafford,1–0,First Division,
1994-95,Old Trafford,2–0,First Division,
1995-96,Old Trafford,2–2,First Division,
1996-97,Old Trafford,1–0,First Division,
1997-98,Old Trafford,1–1,First Division,
1998-99,Old Trafford,2–0,First Division,
1999-2000,Old Trafford,1–1,First Division,
2000-01,Old Trafford,0–1,First Division,
2001-02,Old Trafford,0–1,First Division,
2002-03,Old Trafford,4–0,First Division,
2003-04,Old Trafford,0–1,First Division,
2004-05,Old Trafford,2–1,First Division,
2005-06,Old Trafford,1–0,First Division,
2006-07,Old Trafford,2–0,First Division,
2007-08,Old Trafford,3–0,First Division,
2008-09,Old Trafford,1–4,First Division,
2009-10,Old Trafford,2–1,First Division,
2010-11,Old Trafford,3–2,First Division,
2011-12,Old Trafford,2–1,First Division,
2012-13,Old Trafford,2–1,First Division,
2013-14,Old Trafford,0–3,First Division,
2014-15,Old Trafford,3–0,First Division,
2015-16,Old Trafford,3–1,First Division,
2016-17,Old Trafford,1–1,First Division,